address,amenities,buildingSize,city,extraInfo,listingDate,listingID,price,propType,spaceAvailable,spaces,state,status,subType,transport,utilities
948 E 92nd St,"Front Loading,Storage Space","5,000 SF",Brooklyn,"Rental Rate,$7.50 /SF/YR,Rentable Building Area,5,000 SF,Property Type,Industrial,Year Built,1975,Property Subtype,Warehouse",1/15/2019,14871103,$0.63 SF/Mo,Industrial,"2,500 SF",1 Space,NY,For Lease,Industrial,"[('Canarsie-Rockaway Parkway Transit Stop', '12 min walk', '0.6 mi'), ('East 105 Street Transit Stop', '16 min walk', '0.8 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '7 min drive', '3.1 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '10 min drive', '4.2 mi'), ('John F. Kennedy International Airport', '15 min drive', '9.4 mi'), ('La Guardia Airport', '20 min drive', '13.7 mi'), ('Newark Liberty International Airport', '43 min drive', '20.0 mi'), ('NY - Red Hook Container Terminal', '14 min drive', '7.1 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.7 mi')]",Gas - Natural
4301 Queens St,,"3,710 SF",Long Island City,"Rental Rate,$16.00 /SF/YR,Rentable Building Area,3,710 SF,Property Type,Industrial,Year Built,1917,Property Subtype,Warehouse",1/15/2019,14872847,$1.33 SF/Mo,Industrial,"1,500 - 3,500 SF",2 Spaces,NY,For Lease,"Office/Medical, Industrial","[('Queens Plaza Transit Stop', '3 min walk', '0.1 mi'), ('Queensboro Plaza Transit Stop', '6 min walk', '0.3 mi'), ('Long Island City-Court Square Transit Stop', '7 min walk', '0.3 mi'), ('Court Square - 23rd Street Transit Stop', '9 min walk', '0.4 mi'), ('45 Road-Court House Square Transit Stop', '9 min walk', '0.4 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '17 min walk', '0.9 mi'), ('Long Island City Station Commuter Rail (Hempstead Branch)', '4 min drive', '1.2 mi'), ('La Guardia Airport', '10 min drive', '4.7 mi'), ('John F. Kennedy International Airport', '22 min drive', '14.7 mi'), ('Newark Liberty International Airport', '34 min drive', '18.5 mi'), ('NY - Red Hook Container Terminal', '15 min drive', '8.4 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '12 min drive', '5.6 mi')]",
21 Ryder Pl,Fenced Lot,"47,000 SF",East Rockaway,"Rental Rate,$16.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,1,500 SF,Rentable Building Area,47,000 SF,Property Type,Industrial,Year Built,1956",1/17/2019,14895928,$1.33 SF/Mo,Industrial,"1,500 - 19,000 SF",1 Space,NY,For Lease,Office,"[('East Rockaway Station Commuter Rail (Long Beach Branch)', '7 min walk', '0.3 mi'), ('Centre Avenue Station Commuter Rail (Long Beach Branch)', '10 min walk', '0.4 mi'), ('John F. Kennedy International Airport', '16 min drive', '10.6 mi'), ('La Guardia Airport', '25 min drive', '17.6 mi'), ('Newark Liberty International Airport', '58 min drive', '33.2 mi'), ('NY - Red Hook Container Terminal', '30 min drive', '20.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '24 min drive', '15.2 mi')]",Heating - Gas
35-10 36th Ave,Air Conditioning,"33,924 SF",Long Island City,"Rental Rate,$20.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,8,000 SF,Rentable Building Area,33,924 SF,Property Type,Industrial,Year Built,1935",1/18/2019,14911330,$1.67 SF/Mo,Industrial,"8,000 - 24,000 SF",1 Space,NY,For Lease,Industrial,"[('36 Avenue Transit Stop', '5 min walk', '0.2 mi'), ('36 Street', '5 min walk', '0.2 mi'), ('39 Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Steinway Street Transit Stop', '11 min walk', '0.5 mi'), ('Broadway', '13 min walk', '0.7 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '5 min drive', '1.8 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '5 min drive', '2.1 mi'), ('La Guardia Airport', '9 min drive', '4.0 mi'), ('John F. Kennedy International Airport', '21 min drive', '15.1 mi'), ('Newark Liberty International Airport', '36 min drive', '19.5 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '13 min drive', '5.9 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
144 E Kingsbridge Rd,"24 Hour Access,Bio-Tech/ Lab Space,Courtyard,Fenced Lot,Floor Drains,Metro/Subway,Raised Floor,Security System,Yard,Storage Space,Fluorescent Lighting","47,694 SF",Mount Vernon,"Rental Rate,$12.00 - $14.00 /SF/YR,Property Subtype,Warehouse,Total Space Available,47,694 SF,Rentable Building Area,47,694 SF,Max. Contiguous,40,000 SF,Year Built,1965,Property Type,Industrial",4/10/2018,14943964,$1.00 - $1.17 SF/Mo,Industrial,"7,694 - 47,694 SF",3 Spaces,NY,For Lease,"Office, Industrial","[('Eastchester-Dyre Ave Transit Stop', '9 min walk', '0.4 mi'), ('Mount Vernon East Station Commuter Rail (New Haven Line)', '5 min drive', '1.8 mi'), ('Pelham Station Commuter Rail (New Haven Line)', '5 min drive', '1.9 mi'), ('La Guardia Airport', '22 min drive', '12.8 mi'), ('Westchester County Airport', '28 min drive', '17.8 mi'), ('John F. Kennedy International Airport', '30 min drive', '20.3 mi'), ('NY - Red Hook Container Terminal', '35 min drive', '21.2 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '24 min drive', '15.2 mi')]","Water - City Water,Sewer - City Sewer,Heating - Gas"
1088 Brook Ave,24 Hour Access,"8,200 SF",Bronx,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,8,200 SF,Property Type,Industrial,Year Built/Renovated,1931/2017,Property Subtype,Warehouse",1/7/2020,15022836,$2.00 SF/Mo,Industrial,"1,737 SF",1 Space,NY,For Lease,Industrial,"[('167 Street', '13 min walk', '0.6 mi'), ('167 Street', '17 min walk', '0.8 mi'), ('170 Street', '19 min walk', '0.9 mi'), ('161 Street-Yankee Stadium Transit Stop', '19 min walk', '1.0 mi'), ('Melrose Station Commuter Rail (Harlem Line)', '7 min walk', '0.3 mi'), ('Yankees-E 153rd Street Station Commuter Rail (Hudson Line)', '6 min drive', '2.8 mi'), ('La Guardia Airport', '17 min drive', '8.3 mi'), ('John F. Kennedy International Airport', '29 min drive', '19.5 mi'), ('Newark Liberty International Airport', '39 min drive', '24.8 mi'), ('NY - Red Hook Container Terminal', '24 min drive', '14.3 mi'), ('CSX INTERMODAL-LITTLE FERRY-NJ', '16 min drive', '10.3 mi')]","Lighting,Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
5642 Tec Dr,"Floor Drains,Security System,Air Conditioning","5,616 SF",Avon,"Rental Rate,$10.50 /SF/YR,Rentable Building Area,5,616 SF,Property Type,Industrial,Year Built,2015,Property Subtype,Warehouse",2/5/2019,15085334,$0.88 SF/Mo,Industrial,"5,616 SF",1 Space,NY,For Lease,Industrial,,
195 Morgan Ave,"24 Hour Access,Property Manager on Site","84,658 SF",Brooklyn,"Rental Rate,$28.00 - $35.00 /SF/YR,Rentable Building Area,84,658 SF,Property Type,Industrial,Year Built,1930,Property Subtype,Warehouse",1/17/2020,15094571,$2.33 - $2.92 SF/Mo,Industrial,"1,584 - 16,094 SF",4 Spaces,NY,For Lease,Office,"[('Morgan Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Grand Street', '10 min walk', '0.5 mi'), ('Montrose Avenue Transit Stop', '10 min walk', '0.5 mi'), ('Graham Avenue Transit Stop', '16 min walk', '0.8 mi'), ('Jefferson Street Transit Stop', '17 min walk', '0.8 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '9 min drive', '3.4 mi'), ('La Guardia Airport', '13 min drive', '7.1 mi'), ('John F. Kennedy International Airport', '21 min drive', '12.2 mi'), ('Newark Liberty International Airport', '35 min drive', '15.8 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.6 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.3 mi')]","Water - City Water,Sewer - City Sewer,Heating - Fired Oil"
350 Scholes St,,"16,000 SF",Brooklyn,"Rental Rate,$24.00 /SF/YR,Rentable Building Area,16,000 SF,Property Type,Industrial,Year Built,1920,Property Subtype,Warehouse",1/6/2020,15096698,$2.00 SF/Mo,Industrial,500 SF,1 Space,NY,For Lease,Industrial,"[('Morgan Avenue Transit Stop', '6 min walk', '0.3 mi'), ('Montrose Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Grand Street', '12 min walk', '0.6 mi'), ('Jefferson Street Transit Stop', '15 min walk', '0.8 mi'), ('Graham Avenue Transit Stop', '17 min walk', '0.9 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '8 min drive', '3.3 mi'), ('Hunterspoint Avenue Station Commuter Rail (Oyster Bay Branch, Hempstead Branch)', '9 min drive', '3.3 mi'), ('La Guardia Airport', '13 min drive', '7.1 mi'), ('John F. Kennedy International Airport', '21 min drive', '11.3 mi'), ('Newark Liberty International Airport', '36 min drive', '15.9 mi'), ('NY - Red Hook Container Terminal', '12 min drive', '5.5 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.1 mi')]",
261 Suburban Ave,,"13,100 SF",Deer Park,"Rental Rate,$12.60 /SF/YR,Rentable Building Area,13,100 SF,Property Type,Industrial,Year Built,1988,Property Subtype,Warehouse",4/2/2020,15098958,$1.05 SF/Mo,Industrial,"1,000 SF",1 Space,NY,For Lease,Industrial,,Heating - Gas
80 13th Ave,,"87,402 SF",Ronkonkoma,"Rental Rate,$12.50 /SF/YR,Rentable Building Area,87,402 SF,Property Type,Industrial,Year Built,1983,Property Subtype,Warehouse",10/30/2019,15108350,$1.04 SF/Mo,Industrial,"32,500 SF",1 Space,NY,For Lease,Industrial,"[('Central Islip Station Commuter Rail (Ronkonkoma Branch)', '8 min drive', '3.5 mi'), ('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '10 min drive', '4.0 mi'), ('Long Island MacArthur Airport', '9 min drive', '3.2 mi'), ('NY - Red Hook Container Terminal', '69 min drive', '52.7 mi'), ('Pinter Warehouse', '22 min drive', '12.9 mi')]",
3230 43rd Ave,,"21,250 SF",Long Island City,"Rental Rate,$22.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,625 SF,Rentable Building Area,21,250 SF,Property Type,Industrial,Year Built,1920",2/8/2019,15122446,$1.83 SF/Mo,Industrial,"10,625 - 21,250 SF",1 Space,NY,For Lease,Industrial,,Heating
24 Elizabeth Dr,,"101,174 SF",Chester,"Rental Rate,$12.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,4,935 SF,Rentable Building Area,101,174 SF,Property Type,Industrial,Year Built,1989",4/1/2019,15154780,$1.00 SF/Mo,Industrial,"4,935 - 13,590 SF",2 Spaces,NY,For Lease,Office,"[('Stewart International Airport', '34 min drive', '16.8 mi'), ('Port Newark Container Terminal', '81 min drive', '62.0 mi'), ('NS INDEPENDENT BULK TRANSFER TERMINAL-PATTERSON-NJ', '55 min drive', '43.1 mi')]","Lighting - Fluorescent,Gas - Natural,Water - City Water,Sewer - County Sewer,Heating - Gas"
12 White St,,"38,000 SF",Buchanan,"Rental Rate,$12.00 /SF/YR,Rentable Building Area,38,000 SF,Property Type,Industrial,Year Built,1970,Property Subtype,Warehouse",2/19/2019,15216486,$1.00 SF/Mo,Industrial,"5,500 SF",1 Space,NY,For Lease,Industrial,"[('Peekskill Station Commuter Rail (Hudson Line)', '5 min drive', '2.0 mi'), ('Cortlandt Station Commuter Rail (Hudson Line)', '6 min drive', '2.4 mi'), ('Westchester County Airport', '37 min drive', '25.7 mi'), ('Stewart International Airport', '43 min drive', '26.0 mi'), ('NY - Red Hook Container Terminal', '65 min drive', '51.4 mi'), ('GENESEE AND WYOMING-GREENWICH-CT-66 FIELD P', '40 min drive', '30.5 mi')]",
220 Dupont Ave,Storage Space,"86,000 SF",Newburgh,"Rental Rate,$2.79 /SF/YR,Rentable Building Area,86,000 SF,Property Type,Industrial,Year Built,1939,Property Subtype,Warehouse",4/2/2019,15219364,$0.23 SF/Mo,Industrial,"86,000 SF",1 Space,NY,For Lease,Industrial,"[('Beacon Station Commuter Rail (Hudson Line)', '11 min drive', '5.8 mi'), ('Stewart International Airport', '12 min drive', '5.5 mi'), ('Port Newark Container Terminal', '92 min drive', '69.3 mi'), (""Shepard'S Incorporated"", '58 min drive', '43.2 mi')]","Gas - Natural,Water - City Water,Sewer - City Sewer,Heating - Gas"
152-65 Rockaway Blvd,,"67,000 SF",Jamaica,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,67,000 SF,Property Type,Industrial,Year Built,1960,Property Subtype,Warehouse",2/26/2019,15282232,$1.92 SF/Mo,Industrial,"33,500 SF",1 Space,NY,For Lease,Industrial,"[('Locust Manor Station Commuter Rail (Far Rockaway Branch)', '4 min drive', '1.7 mi'), ('Laurelton Station Commuter Rail (Far Rockaway Branch)', '4 min drive', '2.1 mi'), ('John F. Kennedy International Airport', '6 min drive', '3.3 mi'), ('La Guardia Airport', '14 min drive', '9.5 mi'), ('Newark Liberty International Airport', '48 min drive', '25.9 mi'), ('NY - Red Hook Container Terminal', '21 min drive', '12.9 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '13 min drive', '7.1 mi')]",
5005 1st Ave,,"21,678 SF",Brooklyn,"Rental Rate,$20.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,000 SF,Rentable Building Area,21,678 SF,Property Type,Industrial,Year Built,1961",8/11/2016,4104082,$1.67 SF/Mo,Industrial,"10,000 - 21,678 SF",1 Space,NY,For Lease,Industrial,,Heating - Gas
6500 New Venture Gear Dr,"Bus Line,Property Manager on Site","281,753 SF",East Syracuse,"Rental Rate,$6.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,10,000 SF,Rentable Building Area,281,753 SF,Property Type,Industrial,Year Built,1969",4/8/2019,4124654,$0.50 SF/Mo,Industrial,"10,000 - 15,000 SF",1 Space,NY,For Lease,Office,"[('Syracuse Hancock International Airport', '15 min drive', '7.5 mi'), ('Albany, NY Port', '167 min drive', '140.7 mi'), ('BNSF-SYRACUSE-NY', '8 min drive', '3.6 mi')]",
6018 Wilbur Rd,Air Conditioning,"14,000 SF",East Syracuse,"Rental Rate,$5.00 /SF/YR,Property Subtype,Warehouse,Min. Divisible,8,000 SF,Rentable Building Area,14,000 SF,Property Type,Industrial,Year Built,1960",3/21/2016,4131682,$0.42 SF/Mo,Industrial,"8,000 - 14,000 SF",1 Space,NY,For Lease,Industrial,"[('Syracuse Hancock International Airport', '20 min drive', '12.0 mi'), ('Albany, NY Port', '172 min drive', '143.4 mi'), ('BNSF-SYRACUSE-NY', '12 min drive', '5.0 mi')]",
465 Paul Rd,"Bus Line,Signage","330,000 SF",Rochester,"Rental Rate,$3.00 - $8.00 /SF/YR,Property Subtype,Manufacturing,Industrial Distribution,Industrial Warehouse,Total Space Available,59,921 SF,Rentable Building Area,330,000 SF,Max. Contiguous,14,599 SF,Year Built,1962,Property Type,Industrial",1/24/2020,4137125,$0.25 - $0.67 SF/Mo,Industrial,"2,401 - 59,921 SF",5 Spaces,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '9 min drive', '3.5 mi'), ('Albany, NY Port', '277 min drive', '231.7 mi'), ('J. MacKenzie Limited', '17 min drive', '7.6 mi')]",
8 Apollo Dr,,"12,248 SF",Batavia,"Rental Rate,$7.75 /SF/YR,Rentable Building Area,12,248 SF,Property Type,Industrial,Year Built,1976,Property Subtype,Warehouse",4/25/2008,4145783,$0.65 SF/Mo,Industrial,"2,200 SF",1 Space,NY,For Lease,Industrial,"[('Buffalo Niagara International Airport', '45 min drive', '27.9 mi'), ('Greater Rochester International Airport', '47 min drive', '33.3 mi'), ('Albany, NY Port', '298 min drive', '252.9 mi'), ('AVLIN FARM STORE ELEVATOR-CALEDONIA-NY', '35 min drive', '22.9 mi')]",
67 Maple Ave,"Bus Line,Signage","16,500 SF",Staten Island,"Rental Rate,$18.00 /SF/YR,Rentable Building Area,16,500 SF,Property Type,Industrial,Year Built,1931,Property Subtype,Manufacturing,General Retail Freestanding,Industrial Warehouse",7/22/2016,4134231,$1.50 SF/Mo,Industrial,"16,500 SF",1 Space,NY,For Lease,Industrial,"[('Elizabeth Commuter Rail (Northeast Corridor, North Jersey Coast Lines)', '15 min drive', '6.9 mi'), ('North Elizabeth Commuter Rail (Northeast Corridor, North Jersey Coast Lines)', '17 min drive', '8.7 mi'), ('Newark Liberty International Airport', '27 min drive', '12.8 mi'), ('La Guardia Airport', '41 min drive', '23.9 mi'), ('John F. Kennedy International Airport', '41 min drive', '26.7 mi'), ('New York Container Terminal', '8 min drive', '3.2 mi'), ('Maher Terminals', '21 min drive', '10.3 mi')]","Lighting,Gas,Water,Sewer,Heating - Gas"
10 Vantage Point Dr,Signage,"31,120 SF",Rochester,"Rental Rate,$8.00 /SF/YR,Rentable Building Area,31,120 SF,Property Type,Industrial,Year Built,1991,Property Subtype,Warehouse",3/1/2018,4150915,$0.67 SF/Mo,Industrial,"4,429 SF",1 Space,NY,For Lease,Industrial,"[('Greater Rochester International Airport', '13 min drive', '8.1 mi'), ('Albany, NY Port', '278 min drive', '234.3 mi'), ('J. MacKenzie Limited', '20 min drive', '11.4 mi')]",
100 Brook Hill Dr,,"492,795 SF",West Nyack,"Rental Rate,$22.00 /SF/YR,Rentable Building Area,492,795 SF,Property Type,Industrial,Year Built/Renovated,1966/1994,Property Subtype,Warehouse",6/13/2016,4127872,$1.83 SF/Mo,Industrial,"10,000 SF",1 Space,NY,For Lease,Office,"[('Nanuet Commuter Rail (Pascack Valley Line)', '7 min drive', '2.8 mi'), ('Pearl River Commuter Rail (Pascack Valley Line)', '8 min drive', '4.7 mi'), ('Westchester County Airport', '31 min drive', '21.1 mi'), ('La Guardia Airport', '46 min drive', '30.5 mi'), ('Stewart International Airport', '55 min drive', '38.8 mi'), ('NY - Red Hook Container Terminal', '53 min drive', '36.2 mi'), ('NEW YORK, SUSQUEHANNA AND WESTERN', '28 min drive', '18.9 mi')]","Lighting - Metal Halide,Water,Heating - Gas"
72-35 51st Ave,,"13,000 SF",Woodside,"Rental Rate,$23.00 /SF/YR,Rentable Building Area,13,000 SF,Property Type,Industrial,Year Built,1980,Property Subtype,Warehouse,Office Medical",9/8/2016,4151850,$1.92 SF/Mo,Industrial,"6,000 SF",1 Space,NY,For Lease,Industrial,"[('Grand Avenue-Newtown Transit Stop', '15 min walk', '0.7 mi'), ('Elmhurst Avenue Transit Stop', '17 min walk', '0.8 mi'), ('69 Street Transit Stop', '20 min walk', '1.0 mi'), ('Roosevelt Avenue-74 Street Transit Stop', '20 min walk', '1.0 mi'), ('Woodside Station Commuter Rail (Ronkonkoma Branch, Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Montauk Branch, Port Washington Branch, Far Rockaway Branch, Babylon Branch)', '4 min drive', '1.4 mi'), ('Forest Hills Station Commuter Rail (Long Beach Branch, Port Jefferson Branch, Hempstead Branch, Babylon Branch)', '9 min drive', '2.9 mi'), ('La Guardia Airport', '8 min drive', '4.2 mi'), ('John F. Kennedy International Airport', '18 min drive', '11.2 mi'), ('Newark Liberty International Airport', '39 min drive', '21.3 mi'), ('NY - Red Hook Container Terminal', '17 min drive', '8.7 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '9 min drive', '3.5 mi')]",
71 Jefferson St,,"6,500 SF",Brooklyn,"Rental Rate,$30.00 - $35.00 /SF/YR,Rentable Building Area,6,500 SF,Property Type,Industrial,Year Built,2007,Property Subtype,Warehouse",9/8/2015,4144088,$2.50 - $2.92 SF/Mo,Industrial,"1,500 - 6,500 SF",2 Spaces,NY,For Lease,"Office, Industrial","[('Myrtle Avenue Transit Stop', '4 min walk', '0.2 mi'), ('Central Avenue Transit Stop', '8 min walk', '0.4 mi'), ('Flushing Avenue', '11 min walk', '0.5 mi'), ('Kosciuszko Street Transit Stop', '12 min walk', '0.6 mi'), ('Morgan Avenue Transit Stop', '14 min walk', '0.7 mi'), ('Nostrand Avenue Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Hempstead Branch, Far Rockaway Branch)', '7 min drive', '2.7 mi'), ('East New York Station Commuter Rail (West Hempstead Branch, Long Beach Branch, Far Rockaway Branch)', '7 min drive', '2.9 mi'), ('La Guardia Airport', '15 min drive', '8.4 mi'), ('John F. Kennedy International Airport', '19 min drive', '11.4 mi'), ('Newark Liberty International Airport', '37 min drive', '16.6 mi'), ('NY - Red Hook Container Terminal', '11 min drive', '5.2 mi'), ('NEW YORK AND ATLANTIC RAILWAY', '8 min drive', '3.2 mi')]",Heating - Gas
1360-1376 Lincoln Ave,Signage,"30,159 SF",Holbrook,"Rental Rate,$11.00 /SF/YR,Rentable Building Area,30,159 SF,Property Type,Industrial,Year Built,1997,Property Subtype,Warehouse",4/14/2020,4159601,$0.92 SF/Mo,Industrial,"3,000 SF",1 Space,NY,For Lease,Industrial,"[('Ronkonkoma Station Commuter Rail (Ronkonkoma Branch, Greenport Branch)', '8 min drive', '2.9 mi'), ('Sayville Station Commuter Rail (Montauk Branch)', '9 min drive', '3.6 mi'), ('Long Island MacArthur Airport', '5 min drive', '1.8 mi'), ('NY - Red Hook Container Terminal', '69 min drive', '54.4 mi'), ('Pinter Warehouse', '25 min drive', '15.9 mi')]",
642 Broadway St,"Bus Line,Fenced Lot","22,998 SF",Buffalo,"Rental Rate,$3.00 /SF/YR,Rentable Building Area,22,998 SF,Min. Divisible,10,000 SF,Year Built,1928,Property Type,Industrial,Cross Streets,Watson St.,Property Subtype,Warehouse",2/29/2016,4160155,$0.25 SF/Mo,Industrial,"10,000 - 22,000 SF",1 Space,NY,For Lease,Flex,"[('Buffalo Niagara International Airport', '18 min drive', '10.2 mi'), ('Albany, NY Port', '340 min drive', '288.9 mi'), ('TRANSFLO-ROCHESTER-NY', '2 min drive', '0.5 mi')]",
